答案,題目,1,2,3,4
3,雞油、豬油與沙拉油的飽和脂肪酸的量是,雞油最多,沙拉油最多,豬油最多,豬油與沙拉油一樣多
4,製造肉酥添加豆粉和砂糖時會增加成品中_____的含量。,蛋白質,脂肪,水分,碳水化合物
4,小麥胚芽中含有豐富的維生素_____它也是一種天然的抗氧化劑。,A,B,D,E
2,那一種可作為營養添加劑？,乳化劑,維生素,黏稠劑,調味劑
4,下列何種蛋白質不形成麵筋？,麥穀蛋白,醇溶蛋白,酸溶蛋白,白蛋白
2,下列何種包材不耐冷凍？,聚乙稀(PE),聚丙稀(PP)?耐龍(PA)?聚酯(P,耐龍(PA),聚酯(P)
1,我國食品安全衛生管理法中規定，販賣超過有效日期之食品應,沒入銷毀,通知限期回收改正,命令工廠停工並封存存貨直到改善,由主管機關代為回收
1,下列何種材質之透氣性最小,鋁箔,耐龍(PA),聚酯(PET),高密度聚乙烯(HDPE)
4,供應內銷用之食品，其內容物如含有液汁與固形物混合者，其內容物之標示應,只要標明總重量,只要標明固形量,只要標明內容量?,應分別標明內容量與固形量
3,食品之包裝最大表面積不足十平方公分，標示字體之規定,所有字之長寬不得小於 2 公厘,所有字長寬得小於1.5 公厘,除品名、廠商名稱及有效日期之字體不得小於 2 公厘外，其他項目之字體不受限制,品名之字體不得小於 2 公厘外，其他項目之字體之大小不受限制。
4,微波爐、烤箱兩用容器材料是,聚丙烯(PP),耐龍(PA),四一甲基戊烯共聚合物(TPX),結晶化聚對苯二甲酸乙二酯(CPET)
3,耐 120℃殺菌之包裝材料是,低密度聚乙烯(LDPE),直線型低密度(LLDPE),結晶化聚丙烯(CPP),延伸性聚丙烯(OPP
1,依據食品器具、容器、包裝衛生標準之規定，材質試驗中，僅測定鉛一項之材料是,聚乙烯(PE),聚苯乙烯(PS),聚氯乙烯(PVC)?聚偏二氯乙烯(PVDC)。,聚偏二氯乙烯(PVDC)
1,不耐低溫的熱封材料是,聚丙烯(PP),聚苯乙烯(PS),聚酯(PET,耐龍(PA)
3,常用的廉價阻隔性材料是,鋁箔,玻璃紙,聚偏二氯乙烯塗佈延伸性聚丙烯(KOP),聚偏二氯乙烯塗佈延伸性尼龍(KON)
2,耐 120℃殺菌處理的包裝材料是,低密度聚乙烯(LDPE)?聚丙烯(PP)?聚苯乙烯(PS)?聚氯乙烯(PVC)。,聚丙烯(PP)?聚苯乙烯(PS)?聚氯乙烯(PVC)。,聚苯乙烯(PS),聚氯乙烯(PVC)
3,使用脫氧劑作短期保存食品時，選用下列材料何者成本較低？,聚偏二氯乙烯塗佈之延伸性尼龍/聚丙烯(KON/(PP),塗佈聚二氯乙烯對苯二甲酸乙二酯/聚丙烯(KPET/PP),聚偏二氯乙烯塗佈延伸性聚丙烯/聚丙烯(KOP/PP),聚丙烯/乙烯-乙烯醇/聚丙烯(PP/EVOH/PP)
4,下列薄膜中，以哪項最為透明。,低密度聚乙烯(LDPE),直線型低密度聚乙烯(LLDPE),聚丙烯(PP),延伸性聚丙烯(OPP)
2,耐衝擊性的聚苯乙烯容器材料為,泛用型聚苯乙烯(GPS),耐衝擊聚苯乙烯(HIPS),延伸性聚苯乙烯(OPS),發泡性聚苯乙烯(EPS)
1,材質試驗需測定二丁錫成分的材料是,聚氯乙烯(PVC),聚偏二氯乙烯(PVDC),聚苯乙烯(PS),聚酯(PET)
3,馬口鐵為鍍_____之鐵板。,銅,鉛,錫,鋁
4,按食品器具、容器、包裝衛生標準規定聚氯乙烯(PVC)材質之溶出試驗氯乙烯單體(VCM)含量需在多少 ppm 以下,30,20,10,1
1,氣體充填包裝採用之氣體一般為,二氧化碳與氮氣,氫氣,氡氣,氦氣
1,肉品包裝的重要性為,保護肉品品質、延長保存期限,改善或增進肉品的新鮮度,殺死所有的細菌,增加肉品的失重
2,塑膠材質的包裝袋,都是透明、容易印刷且不會破損,會因所用積層材料的不同，而有不同的特性(如：硬度、透氣性、阻隔性),是千年不化的材質，可長久保存,所使用的原料都是塑膠，沒有不同的特性
3,殺菌軟袋使用之包材中，下列何者為外層適宜印刷及具強度？,鋁箔,耐龍(PA),聚酯(PET),聚丙烯(PP)
4,下列何種包裝材料最適合麵粉的長久貯存包裝？,聚乙烯(PE),聚丙等(PP),棉布,多層紙
1,健康食品之標示或廣告涉及醫療效能內容時，可處罰鍰,四十萬元以上二百萬元以下,六萬元以上三十萬元以下,四萬元以上二十萬元以下,三萬元以上十五萬元以下
4,未經核准擅自製造或輸入健康食品者，可處有期徒刑,六個月以下,一年以下,二年以下,三年以下
4,因為攝食不新鮮魚類，造成臉部潮紅、發癢、暈眩、嘔吐、腹瀉等類過敏性食品中毒症狀之原因為何？,河豚毒,腸,肉毒桿菌,組織胺
2,危害分析重要管制點(HACCP)系統是一種,品質保證系統,食品安全管制系統,實驗室認證系統,良好作業規範
4,依食品安全衛生管理法，一定不得製造販賣的是下列那一種情形之食品？,未經檢驗者,含有食用色素者,添加香料者?,變質或腐敗者
2,違反食品安全衛生管理法時,僅可處罰行為人,可處罰行為人與負責人,僅可處罰負責人,不可處罰法人
1,糕點類最容易感染的食品中毒病原菌為,金黃色葡萄球菌,傷寒菌,腸炎弧菌,彎曲桿菌
1,經口傳染的肝炎為,A 型肝炎,B 型肝炎,D 型肝炎,P 型肝炎
2,判定食品有無糞便污染，目前使用的指標是,葡萄球菌,大腸桿菌,沙門氏菌,肉毒桿菌
1,衛生的肉品，除了要低污染(細菌的量)以外，還有,磺胺藥物的殘留量要在法定允許量(即 0.1ppm)以下,價格要很昂貴,包裝袋(盒)印刷精美,低脂肪低醣類
2,油脂產品中添加下列何者可有延緩酸敗的效果,乳化劑,抗氧化劑,防腐劑,黏稠劑
4,食品工廠調理台面光線亮度依規定要求為多少米燭光以上,50,100,150,200
3,可能含有植物性天然毒素茄靈(Solanin)之植物為,皇帝豆,大麥,長芽之馬鈴薯,芥菜
1,半數致死量(LD50)是下列何種毒性之測試方法？,急性毒性,基因毒性,致畸性毒性,致癌性毒性
4,GMP 食品工廠有關製造紀錄之保存，應保存,二個月以上,半年以上,成品有效期限前一個月,成品有效期限後一個月
2,食品工廠各作業區依清潔程度不同而區分，加工調理場屬於,一般作業區,準清潔作業區,清潔作業區,非食品處理區
4,下列敘述何者是錯誤的？,食品工廠不得設置於易遭受污染之區域,廠房內地面宜用無毒、非吸收性、不透水性之建材構築,廠房內排水系統應有防止固體廢棄物流入裝置,廠區禁止飼養狗但可養鴿子
3,使用地下水源者，其水源應與化糞池、廢棄物堆積場所等污染源至少保持幾公尺之距離？,5 公尺,10 公尺,15 公尺,20 公尺
4,有關洗手設施下列敘述何者為錯?,洗手設施鄰近應有簡明易懂之洗手方法標示,乾手設備應採用烘手器或擦手紙巾,在洗手設備鄰近應備有液體清潔劑,有水龍頭可洗手即可
1,廠房內排水溝之排水流向,由高清潔區流向低清潔區,由低清潔區流向高清潔區?,依方便性考慮,不需考慮
2,下列有關排水之敘述何者錯誤？,排水出口應有防止老鼠侵入之裝置,排水溝內得配有其他管路,排水溝之側面和底面接合處應有適當之弧度(曲率半徑應在３公分以上),排水溝應保持暢通，不得有淤泥蓄積
1,食品加工用水下列何者正確？,自來水或地下水經適當處理並檢驗合格者,地下水直接使用,不需考慮,沒有規定
4,增進麵粉之貯存性下列何種方式最佳？,冷凍貯存麵粉,添加氧化劑如溴酸鉀,添加酵素,降低相對濕度
4,下列何者是食品衛生指標菌？,肉毒桿菌,仙人掌菌,金黃色葡萄球菌,大腸桿菌
3,民國六十八年發生米糠油中毒事件係由何者引起？,鎘,汞,多氯聯苯,芥酸
123,食品的標示應以中文及通用符號，明顯標示,品名,食品添加物名稱,有效日期,保健功效
1234,下列那些應符合食品安全衛生管理法之規定,食品,食品添加物,食品器具,食品用洗潔劑
23,下列那些敘述錯誤？,食品輸入應依海關專屬貨品分類號列向中央主管機關申請查驗並申報其產品有關資訊,食品業者就其輸入產品之相關紀錄、文件及電子檔案應保存三年,查驗機關申請具結先行放行，並於特定地點存放後，就可以啟用或販賣,中央主管機關對於管控安全風險程度較高之食品，得於其輸入前，實施系統性查核
123,下列那些食品，主管機關得命食品業者不得製造及販賣,殘留農藥超過安全容許量,染有造成食品中毒之病原性生物,已變質,在有效日期內
124,食品器具、容器或包裝，有下列情形者不得製造及販賣,有毒者,易生不良化學作用者,經風險評估無害者,足以危害健康者
34,下列那些不是包裝食品的營養標示須於包裝容器外表標示之內容？,飽和脂肪,反式脂肪,膽固醇,膳食纖維
14,下列那些敘述正確？,果蔬汁包裝飲料未含果蔬汁者，應於品名標示「口味」、「風味」字樣,內容物附牛肉調味粉包，無牛肉包之包裝速食麵，其品名得直接宣稱「牛肉麵」,不含松露之巧克力，不得因外觀約定而命名為「松露巧克力」,全麥麵包其所含全麥粉需達配方總重量 51%(含)以上
134,食品安全管制系統包括下列那些事項？,成立食品安全管制小組,不需要決定重要管制點,建立管制界限,研訂及執行矯正措施
24,有關食品安全管制小組成員之敘述，下列那些錯誤？,負責人或其指定人員為必要之成員,至少為五人,成員中至少一人應為食品業者專門職業人員或有管理辦法規定之技術證照人員,從業期間，應持續接受與本系統有關之課程，每三年累計至少十小時
124,食品從業人員應符合下列那些規定？,每年健康檢查乙次,有Ａ型肝炎者不得從事與食品接觸之工作,上班前應從家直接穿好工作服裝，以節省時間,應接受衛生主管機關或其認可之相關機構所辦之衛生講習
14,餐飲業者作業場所之有效殺菌，下列那些錯誤？,毛巾、抹布使用攝氏一百度沸水煮 3 分鐘,毛巾、抹布使用攝氏一百度之蒸汽加熱 10 分鐘以上,毛巾、抹布使用攝氏一百度沸水煮 5 分鐘以上,毛巾、抹布使用攝氏八十度熱水煮 5 分鐘以上。
13,下?敘述何者不正確？,食品中的自由水含量與水活性成反比,降低食品水活性可減緩酵素作用,半乾性食品(IMF)之水活性介於 0.50~0.95 之間,豬肉乾屬於半乾性食品。
124,下列何者是水產煉製品製造時漂洗( leaching )的目的？,除去魚腥味,除去水溶性蛋白質,除去鹽溶性蛋白質,增強製品彈性。
23,食品添加物-焦糖色素(caramel colors)的相關敘述何者不正確？,亞硫酸鹽焦糖(Sulfite caramel)可於各類食品中視實際需要適量使用,各類焦糖色素都是天然色素食品,焦糖色素可使用於生鮮肉類、蛋類、豆類、蔬菜等,亞硫酸-銨鹽焦糖(Sulfite ammonia caramel)不可使用於果醬、果凍、麻糬等食品。
124,下列那些修飾澱粉不適用擠壓技術( extrusion technology )製作？,交聯澱粉,磷酸澱粉,預糊化澱粉,氧化澱粉。
123,下列有關豆腐加工敘述，何者正確？,豆乳中─ COO–官能基會與鈣?子發生凝固作用,豆乳加葡萄糖酸-δ-內酯(glucono-δ-lactone)使 pH 下降，讓蛋白質達到等電點而凝固,豆乳中加硫酸鈣的凝固原理屬鹽析凝固,豆乳中─ NH2–官能基會與氫?子發生凝固作用。
124,某食品公司擬生產鳳梨水果罐頭，其內容量應為 600g，開罐固形量 450g，設鳳梨殺菌後收縮率為 15％，調理後測得生鳳梨糖度 10°Brix，成品開罐糖度為 16°Brix，問應調配之糖液濃度下列何者不正確？,41%,51%,61%,71%
134,下列何者是衛福部規定自 104 年 7 月 1 日起須標示之過敏原,蛋及其製品,麵筋及其製品,牛奶及其製品,芒果及其製品
12,製作 100 公斤西式香腸成品，成品脂肪含量 25％，使用原料肉、背脂占全產品之 85％，原料肉含脂率 20％，背脂含脂率 80％：試計算分別原料肉用量及背脂用量,原料肉用量 71.7 公斤,背脂用量 13.3 公斤,原料肉用量 13.3 公斤,脂用量 71.7 公斤。
124,食品輻射照射處理之目的，下列敘述何者正確？,防治蟲害,延長食品儲存期限,增強食品的風味,抑制農產品的發芽
234,下列何者非皮蛋製品中蛋黃出現綠色化合物之主要成分,硫化鐵,磷酸鐵,硫酸鐵,硝酸鐵
123,下列何者不是油脂冬化(winterization)的目的？,用於大豆沙拉油製造，夏季高溫貯存時油脂較澄清,使油脂增加濁度,去除熔點低的高不飽和度的液體脂類,可以使固體脂析出，再予以去除。
13,攝食下列何者脂肪酸對身體健康較有不良影響,反式脂肪酸,順式脂肪酸,月桂酸,花生四烯酸
134,下列何種礦物質屬人體之微量礦物質,鐵,鎂,銅,鋅
234, 高血壓的飲食原則以選用下列何者食物較宜,紅蘿蔔,馬鈴薯,香蕉,蕃茄
12,下列何者飲食因素會減少鈣質吸收率,攝食過量的膳食纖維,攝食多量的磷,攝食多量的維生素 D,攝食多量的乳糖
134,酪蛋白磷酸(CPP)之主要生理功效為,促進鈣質吸收,預防糖尿病,治療貧血效果,抗齲齒功能
24,下列何者營養素具有調節生理機能,醣類,蛋白質,脂質,礦物質
13,米、小麥及玉米為一種不完全蛋白質食物，下列何者必需胺基酸為其共同較缺少的,甲硫胺酸,組胺酸,離胺酸,色胺酸
134,下列何者屬不正常範圍之身體質量指數(BMI),小於 18.5,18.5-24,24-27,大於 27
124,某人攝食含醣類 12g、脂肪 5g、蛋白質 8g、維生素 3g 及酒精 7g 時，其預估總熱能量下列何者為錯的,186大卡,176 大卡,174 大卡,189 大卡
124,下列何者具有護肝保健功效之成分,甘草素,花青素,幾丁質,靈芝多醣體
24,一般飲食中下列食物何者為良好鐵成分之主要來源,乳製品,肝臟,菠菜,肉類
24,下列何者屬脂溶性維生素,生物素,維生素 D,維生素 C,維生素 E
